FilePath,ExportedComponents,LOC,UsesTokens,HasStory,HasTests,ImportCount,LastCommit,CommitHash
frontend/src/features/auth/Register.tsx,Register,178,yes,no,no,3,2026-01-21,5f53b91a2fc4357254af66601ec057b0251b17d8
frontend/src/features/ksc-generator/KSCGenerator.tsx,KSCGenerator,318,no,no,no,3,2025-12-27,dc3a7c2ec840bc2e7ac1aaba5bcd3bed17a93d2a
frontend/src/legacy/ui/chart.tsx,ChartContainer; ChartLegend; ChartLegendContent; ChartTooltip; ChartTooltipContent,7,no,no,no,3,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/components/ui/chart.tsx,ChartContainer; ChartLegend; ChartLegendContent; ChartTooltip; ChartTooltipContent,7,no,yes,no,3,2026-01-03,6ae77210604acfa92ae7e98fa0b5b9fbee09e104
frontend/src/components/shared/KeywordTag.tsx,KeywordTag,22,no,no,no,3,2025-12-25,db7e79f44bb3edf5df91c4afeab0a01ed435c365
frontend/src/pages/JobQueue.tsx,JobQueue,327,yes,no,yes,3,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/features/landing/LandingPage.tsx,LandingPage,94,no,no,no,2,2026-01-04,9c458107c24d862d194d872e03e3cffe1b4e3406
frontend/src/features/analysis/ImpactEnhancements.tsx,ImpactEnhancements,93,yes,no,no,2,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/features/gallery/GlassLeafCard.tsx,,103,yes,no,no,2,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/features/documents/DocumentStack.tsx,DocumentStack,152,yes,no,no,2,2026-01-20,c3be1b4e640e37e829cd4dfca62e741f62f7bf14
frontend/src/legacy/ui/AuroraHeader.tsx,AuroraHeader,113,yes,no,no,2,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/components/ui/Jar.tsx,JarProps; M3Select; M3SelectOption,253,yes,no,no,2,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/components/ui/NativeAnchor.tsx,NativeAnchor,131,no,no,no,2,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/components/ui/Seed.tsx,M3Badge; SeedProps,74,yes,no,no,2,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/components/ui/AuroraHeader.tsx,AuroraHeader,116,no,no,no,2,2026-01-20,a2e2a58c8619b204268775bcfb4bf181ec4dfa88
frontend/src/components/shared/ImpactEnhancements.tsx,ImpactEnhancements,93,no,no,no,2,2026-01-20,c3be1b4e640e37e829cd4dfca62e741f62f7bf14
frontend/src/components/shared/M3ErrorAlert.tsx,M3ErrorAlert,84,no,no,no,2,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/components/shared/ChartPane.tsx,ChartPane,29,yes,no,no,2,2025-12-25,db7e79f44bb3edf5df91c4afeab0a01ed435c365
frontend/src/layouts/GalleryShell/views/GalleryOnboarding.tsx,GalleryOnboarding,25,yes,no,no,2,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/GalleryShell/views/GalleryAuth.tsx,GalleryAuth,22,yes,no,no,2,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/GalleryShell/views/GalleryFeed.tsx,GalleryFeed,119,yes,no,no,2,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/GalleryShell/views/GalleryDashboard.tsx,GalleryDashboard,25,yes,no,no,2,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/GalleryShell/views/GalleryKanban.tsx,GalleryKanban,83,no,no,no,2,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/pages/IngestionPage.tsx,IngestionPage,206,yes,no,no,2,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/features/ingestion/components/EvidenceUploader.tsx,EvidenceUploader,110,yes,no,no,1,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/features/analysis/AssetLibrary.tsx,AssetLibrary,74,yes,no,no,1,2026-01-21,6866600fb0551012c5442caf48a6c7921bb6787a
frontend/src/features/not-found/NotFound.tsx,NotFound,40,no,no,no,1,2025-12-25,e41633643351d09bd8721cd644d7df17bc39edaf
frontend/src/features/profile/components/ProfileView.tsx,ProfileView,230,yes,no,no,1,2026-01-20,5faf77d0d4db0cabb53416d0bedbf26dffcf7107
frontend/src/features/profile/components/ProfileComparison.tsx,ProfileComparison,330,no,no,yes,1,2026-01-20,5faf77d0d4db0cabb53416d0bedbf26dffcf7107
frontend/src/features/profile/components/ResumeUploader.tsx,DefaultExport,199,no,no,no,1,2026-01-20,5faf77d0d4db0cabb53416d0bedbf26dffcf7107
frontend/src/features/sandbox/EcosystemSandbox.tsx,Archetype; EcosystemSandbox,70,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/features/sandbox/components/SplitEditor.tsx,SplitEditor,162,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/features/sandbox/components/EvidenceSidebar.tsx,EvidenceSidebar,91,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/features/applications/ApplicationTracker.tsx,Application; ApplicationTracker,121,no,no,no,1,2026-01-19,89bb9f9ea1259958bd779b7959720add7c9d9e6c
frontend/src/features/style-guide/StyleGuide.tsx,StyleGuide,165,no,no,no,1,2025-12-27,dc3a7c2ec840bc2e7ac1aaba5bcd3bed17a93d2a
frontend/src/features/onboarding/components/ValidationDashboard.tsx,ValidationDashboard,407,yes,no,no,1,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/legacy/ui/collapsible.tsx,Collapsible; CollapsibleContent; CollapsibleTrigger,5,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/components/ui/icon-badge.tsx,IconBadge,3,no,yes,no,1,2026-01-03,6ae77210604acfa92ae7e98fa0b5b9fbee09e104
frontend/src/components/ui/Cabinet.tsx,CabinetProps; M3Modal,110,yes,no,no,1,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/components/ui/SplitHeader.tsx,SplitHeader,67,no,no,no,1,2026-01-20,a2e2a58c8619b204268775bcfb4bf181ec4dfa88
frontend/src/components/ui/collapsible.tsx,Collapsible; CollapsibleContent; CollapsibleTrigger,5,no,yes,no,1,2026-01-03,6ae77210604acfa92ae7e98fa0b5b9fbee09e104
frontend/src/components/ui/Vessel.tsx,M3Accordion,47,yes,no,no,1,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/components/shared/StatCard.tsx,StatCard,54,yes,no,no,1,2025-12-25,db7e79f44bb3edf5df91c4afeab0a01ed435c365
frontend/src/components/shared/StatusChip.tsx,StatusChip,29,no,no,no,1,2026-01-21,6866600fb0551012c5442caf48a6c7921bb6787a
frontend/src/components/shared/SplitHeader.tsx,,95,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/components/shared/EditableField.tsx,EditableField,118,yes,no,no,1,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/components/layouts/GardenLayout.tsx,GardenLayout,64,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
