2026-03-02 22:21:46 | INFO     | app.core.loguru_config:configure_loguru:179 | Loguru logging configured
2026-03-15 22:55:57 | INFO     | 77234794-3528-4356-b3d4-f0a97d73f5bc | REST Request: GET /applications/
2026-03-15 22:55:57 | INFO     | 77234794-3528-4356-b3d4-f0a97d73f5bc | REST Response: 404 in 0.006s
2026-03-15 22:56:01 | INFO     | a0390924-8a25-4bb3-b1e7-92ad50ed2f37 | REST Request: GET /applications/
2026-03-15 22:56:01 | INFO     | a0390924-8a25-4bb3-b1e7-92ad50ed2f37 | REST Response: 404 in 0.092s
2026-03-15 22:57:47 | INFO     | 6d85052b-9987-4714-bc34-e737cf8fb227 | REST Request: GET /openapi.json
2026-03-15 22:57:48 | INFO     | 6d85052b-9987-4714-bc34-e737cf8fb227 | REST Response: 200 in 1.155s
2026-03-15 22:58:30 | INFO     | 3c7b2105-f2e1-4e5a-8669-b9ac33b1a429 | REST Request: GET /api/applications
2026-03-15 22:58:30 | INFO     | 3c7b2105-f2e1-4e5a-8669-b9ac33b1a429 | REST Response: 307 in 0.014s
2026-03-15 22:58:30 | INFO     | 06bcf1a1-3439-455c-896b-c2417844a0ce | REST Request: GET /api/applications/
2026-03-15 22:58:30 | INFO     | 06bcf1a1-3439-455c-896b-c2417844a0ce | REST Response: 401 in 0.110s
2026-03-15 22:58:30 | INFO     | c98e4fff-a18b-48f8-9c24-cbb3a6b6e3f9 | REST Request: GET /api/genkit/health
2026-03-15 22:58:30 | INFO     | c98e4fff-a18b-48f8-9c24-cbb3a6b6e3f9 | REST Response: 404 in 0.006s
2026-03-16 00:04:20 | INFO     | 5d2383cb-8f31-4df6-95a8-f47f7f9a9844 | REST Request: GET /applications/
2026-03-16 00:04:24 | INFO     | 5d2383cb-8f31-4df6-95a8-f47f7f9a9844 | REST Response: 404 in 4.294s
2026-03-16 00:04:27 | INFO     | 66202dae-17d1-4392-b1ab-e5d21a0c04b7 | REST Request: GET /applications/
2026-03-16 00:04:27 | INFO     | 66202dae-17d1-4392-b1ab-e5d21a0c04b7 | REST Response: 404 in 0.338s
2026-03-16 00:04:31 | INFO     | c3a1d1ec-eda2-47ed-aa3d-e1fb25e99d86 | REST Request: GET /applications/
2026-03-16 00:04:31 | INFO     | c3a1d1ec-eda2-47ed-aa3d-e1fb25e99d86 | REST Response: 404 in 0.005s
2026-03-16 03:42:30 | INFO     | 3f53d518-7553-4920-a469-c3d6b13504a7 | REST Request: GET /applications/
2026-03-16 03:42:31 | INFO     | 3f53d518-7553-4920-a469-c3d6b13504a7 | REST Response: 404 in 1.105s
